sheet,slug,bank_class,period_bs,n_obs,min,max,rel_diff,files
C6,others,system_total,Mangsir 2078 (Mid-Dec 2021),4,1.27323939,7581.482629980566,5953.483257057077,Manghir-2078=7581.48; Manghir-2078=1.27; Poush-2078_Publish=7581.48; Poush-2078_Publish=1.27
C6,others,commercial,Chait 2079 (Mid-Apr 2022),4,2.52335785,14853.706298338797,5885.484272668182,Chaitra-2078=14853.71; Chaitra-2078=2.52; Baishakh-2079=14853.71; Baishakh-2079=2.52
C5,profit-loss-a-c,commercial,Baisakh 2080 (Mid-May 2023),4,9.699403607379963,54862.44566591422,5655.2700024330525,Baisakh_2080_Publish-1=54862.45; Baisakh_2080_Publish-1=9.70; Jestha_2080_Publish=54862.45; Jestha_2080_Publish=9.70
C6,others,commercial,Mangsir 2078 (Mid-Dec 2021),4,1.27323939,7187.565488112621,5644.101419704444,Manghir-2078=7187.57; Manghir-2078=1.27; Poush-2078_Publish=7187.57; Poush-2078_Publish=1.27
C6,others,system_total,Kartik 2078 (Mid-Nov 2021),4,1.18028242,5838.460043152391,4945.663564769855,Kartik2078_NFRS_Publish-1=5838.46; Kartik2078_NFRS_Publish-1=1.18; Manghir-2078=5838.46; Manghir-2078=1.18
C6,others,commercial,Kartik 2078 (Mid-Nov 2021),4,1.18028242,5546.372413933077,4698.190905455558,Kartik2078_NFRS_Publish-1=5546.37; Kartik2078_NFRS_Publish-1=1.18; Manghir-2078=5546.37; Manghir-2078=1.18
C6,others,system_total,Ashwin 2078 (Mid-Oct 2021),4,1.13164245,4125.61266706613,3644.6856731259327,Ashwin2078_NFRS_Publish=4125.61; Ashwin2078_NFRS_Publish=1.13; Kartik2078_NFRS_Publish-1=4125.61; Kartik2078_NFRS_Publish-1=1.13
C6,others,system_total,Ashadh 2079 (Mid-July 2022),30,6.853238430000004,24032.492609252015,3505.7352252111855,Shrawan_2079_PublishV1=24032.49; Shrawan_2079_PublishV1=6.85; Ashar2079_Publish=24032.49; Ashar2079_Publish=6.85; Bhadau_2081_Publish-1=24032.49; Bhadau_2081_Publish-1=6.85; Ashwin_2081_Publish-1=24032.49; Ashwin_2081_Publish-1=6.85; Kartik_2081_Publish=24032.49; Kartik_2081_Publish=6.85; Mangsir_2081_Publish-V2=24032.49; Mangsir_2081_Publish-V2=6.85; Poush_2081_Publish_2=24032.49; Poush_2081_Publish_2=6.85; Magh_2081_Publish-3=24032.49; Magh_2081_Publish-3=6.85; Falgun_2081_Publish=24032.49; Falgun_2081_Publish=6.85; Chaitra_2081_Publish=24032.49; Chaitra_2081_Publish=6.85; Saun-2082-Publish=24032.49; Saun-2082-Publish=6.85; Bhadau_2082_Publish=24032.49; Bhadau_2082_Publish=6.85; Baisakh_2082_Publish-1=24032.49; Baisakh_2082_Publish-1=6.85; Jestha_2082_Publish-3=24032.49; Jestha_2082_Publish-3=6.85; Asar_2082_Publish=24032.49; Asar_2082_Publish=6.85
C6,others,commercial,Ashwin 2078 (Mid-Oct 2021),4,1.13164245,3936.69697586613,3477.746291168319,Ashwin2078_NFRS_Publish=3936.70; Ashwin2078_NFRS_Publish=1.13; Kartik2078_NFRS_Publish-1=3936.70; Kartik2078_NFRS_Publish-1=1.13
C6,others,commercial,Ashadh 2079 (Mid-July 2022),30,6.7382384300000036,22393.449326573143,3322.3388161025837,Shrawan_2079_PublishV1=22393.45; Shrawan_2079_PublishV1=6.74; Ashar2079_Publish=22393.45; Ashar2079_Publish=6.74; Bhadau_2081_Publish-1=22393.45; Bhadau_2081_Publish-1=6.74; Ashwin_2081_Publish-1=22393.45; Ashwin_2081_Publish-1=6.74; Kartik_2081_Publish=22393.45; Kartik_2081_Publish=6.74; Mangsir_2081_Publish-V2=22393.45; Mangsir_2081_Publish-V2=6.74; Poush_2081_Publish_2=22393.45; Poush_2081_Publish_2=6.74; Magh_2081_Publish-3=22393.45; Magh_2081_Publish-3=6.74; Falgun_2081_Publish=22393.45; Falgun_2081_Publish=6.74; Chaitra_2081_Publish=22393.45; Chaitra_2081_Publish=6.74; Saun-2082-Publish=22393.45; Saun-2082-Publish=6.74; Bhadau_2082_Publish=22393.45; Bhadau_2082_Publish=6.74; Baisakh_2082_Publish-1=22393.45; Baisakh_2082_Publish-1=6.74; Jestha_2082_Publish-3=22393.45; Jestha_2082_Publish-3=6.74; Asar_2082_Publish=22393.45; Asar_2082_Publish=6.74
